Event_ID,Distance_Degrees,Distance_KM,t0,tp,ts,Vp_Vs_Ratio
S1222a,37.01,2190.992,2022-05-04T23:23:07.710516Z,2022-05-04T23:27:34.0Z,2022-05-04T23:27:45.192771Z,1.0420323432674494
S1133c,30.19,1787.2480000000003,2022-02-03T08:04:36.469259Z,2022-02-03T08:08:11.7Z,2022-02-03T08:08:24.753506Z,1.0606488921580213
S1102a,73.31,4339.952,2022-01-02T04:27:10.093677Z,2022-01-02T04:35:19.3Z,2022-01-02T04:35:28.844688Z,1.0195105573073306
S1094b,59.65,3531.28,2021-12-24T22:38:02.749173Z,2021-12-24T22:44:48.7Z,2021-12-24T22:45:08.063325Z,1.0476986957831718
S1048d,30.19,1787.2480000000003,2021-11-07T22:00:15.254098Z,2021-11-07T22:03:42.7Z,2021-11-07T22:04:04.40886Z,1.1046482952456684
S1022a,30.73,1819.2160000000001,2021-10-11T23:14:29.105382Z,2021-10-11T23:18:25.025302Z,2021-10-11T23:21:23.255908Z,1.755470780085039
S1015f,27.49,1627.408,2021-10-04T04:52:29.248537Z,2021-10-04T04:56:00.185082Z,2021-10-04T04:58:40.218707Z,1.7586813607855387
S1000a,128.29,7594.768,2021-09-18T17:46:20.639751Z,2021-09-18T17:59:01.470476Z,2021-09-18T18:13:28.0Z,2.1389255132933807
S0976a,146.26,8658.592,2021-08-25T03:32:20.629953Z,2021-08-25T03:48:58.4Z,2021-08-25T04:03:07.778327Z,1.8512766338835587
S0864a,28.75,1702.0,2021-05-02T00:57:35.34519Z,2021-05-02T01:00:56.5Z,2021-05-02T01:01:05.534422Z,1.0449127813548182
S0820a,30.19,1787.2480000000003,2021-03-18T14:51:33.869889Z,2021-03-18T14:54:39.0Z,2021-03-18T14:57:39.0Z,1.972289159379373
S0809a,29.83,1765.936,2021-03-07T11:09:26.99714Z,2021-03-07T11:12:59.6Z,2021-03-07T11:13:14.930832Z,1.0721101870407577
S0235b,28.75,1702.0,2019-07-26T12:15:38.748239Z,2019-07-26T12:18:58.5Z,2019-07-26T12:19:16.991001Z,1.0925699022998852
S0173a,30.01,1776.592,2019-05-23T02:19:09.852879Z,2019-05-23T02:22:42.3Z,2019-05-23T02:22:58.043698Z,1.0741064314069946
S1197a,31.98,1893.2160000000001,2022-04-09T22:05:52.41687Z,2022-04-09T22:09:38.5Z,2022-04-09T22:12:49.0Z,1.842610415027428
S1192a,25.5,1509.6000000000001,2022-04-04T23:06:52.616746Z,2022-04-04T23:12:12.572401Z,2022-04-04T23:16:48.265836Z,1.86166139179506
S1163a,23.1,1367.5200000000002,2022-03-06T02:29:13.668752Z,2022-03-06T02:34:18.697973Z,2022-03-06T02:38:28.753599Z,1.8197759715617539
S1160a,2.14,126.68800000000002,2022-03-02T06:51:40.637485Z,2022-03-02T06:56:42.656456Z,2022-03-02T06:56:52.590229Z,1.0328912219226123
S1157a,35.58,2106.336,2022-02-27T01:02:36.620313Z,2022-02-27T01:07:07.386079Z,2022-02-27T01:10:33.077426Z,1.7596652635917054
S1153a,84.81,5020.752,2022-02-23T21:00:32.548262Z,2022-02-23T21:09:22.3Z,2022-02-23T21:09:33.746256Z,1.0216068304810355
S1135c,20.0,1184.0,2022-02-05T04:34:04.201673Z,2022-02-05T04:39:24.217017Z,2022-02-05T04:43:00.872391Z,1.677015580852898
S1106a,38.5,2279.2000000000003,2022-01-06T14:53:18.310024Z,2022-01-06T14:58:20.331235Z,2022-01-06T15:05:17.434669Z,2.3810402011797773
S1105a,22.4,1326.08,2022-01-05T07:59:04.008824Z,2022-01-05T08:04:13.988379Z,2022-01-05T08:08:16.344706Z,1.7818461672415782
S1094d,24.4,1444.48,2021-12-25T03:31:41.685086Z,2021-12-25T03:36:52.573319Z,2021-12-25T03:41:16.658691Z,1.849454382533674
S1091a,20.2,1195.84,2021-12-21T23:57:27.099737Z,2021-12-22T00:02:46.930495Z,2021-12-22T00:06:25.465309Z,1.6832826691421594
S1090b,9.8,580.1600000000001,2021-12-20T22:17:13.77851Z,2021-12-20T22:22:23.873614Z,2021-12-20T22:24:09.978435Z,1.3421686432043765
S1087d,26.8,1586.5600000000002,2021-12-18T00:42:23.809954Z,2021-12-18T00:47:18.324867Z,2021-12-18T00:47:23.809954Z,1.0186241400957514
S1086d,24.9,1474.08,2021-12-16T23:02:32.671075Z,2021-12-16T23:07:42.4055Z,2021-12-16T23:12:11.468547Z,1.8686895136050827
S1082c,21.2,1255.04,2021-12-12T20:20:50.278146Z,2021-12-12T20:25:58.383505Z,2021-12-12T20:29:47.920691Z,1.7449957597134818
S1077c,23.0,1361.6000000000001,2021-12-07T14:01:49.15588Z,2021-12-07T14:06:59.285347Z,2021-12-07T14:11:08.381859Z,1.80320168995744
S1075c,25.6,1515.5200000000002,2021-12-05T14:43:47.693762Z,2021-12-05T14:49:10.902171Z,2021-12-05T14:53:48.242672Z,1.8580856601413485
S1073d,26.5,1568.8000000000002,2021-12-03T14:28:52.584603Z,2021-12-03T14:33:57.521266Z,2021-12-03T14:38:44.069111Z,1.9396962706317804
S1071b,25.0,1480.0,2021-12-01T12:19:05.491437Z,2021-12-01T12:24:25.3756Z,2021-12-01T12:28:55.650274Z,1.8449142072719615
S1068c,24.0,1420.8000000000002,2021-11-28T08:10:32.786857Z,2021-11-28T08:15:52.77573Z,2021-11-28T08:20:12.269144Z,1.8109451168322344
S1065b,22.5,1332.0,2021-11-25T11:06:55.004195Z,2021-11-25T11:12:04.938873Z,2021-11-25T11:16:08.182224Z,1.7848213454836441
S1060a,26.9,1592.48,2021-11-19T11:40:11.95703Z,2021-11-19T11:45:24.195699Z,2021-11-19T11:50:15.90031Z,1.9342360186655803
S1054c,26.2,1551.04,2021-11-14T03:24:25.479129Z,2021-11-14T03:29:31.120887Z,2021-11-14T03:34:14.706593Z,1.927836915530371
S1054b,25.3,1497.7600000000002,2021-11-14T02:15:32.55535Z,2021-11-14T02:20:44.087824Z,2021-11-14T02:25:17.572218Z,1.8778680132075094
S1050b,24.5,1450.4,2021-11-09T23:56:59.675394Z,2021-11-10T00:02:19.44813Z,2021-11-10T00:06:44.188439Z,1.8279014412285606
S1047a,13.6,805.12,2021-11-06T16:54:15.278383Z,2021-11-06T16:59:17.295172Z,2021-11-06T17:01:44.098694Z,1.4860773551234596
S1044b,22.6,1337.92,2021-11-03T17:38:02.916703Z,2021-11-03T17:43:12.5471Z,2021-11-03T17:47:17.030433Z,1.7895973243221337
S1040d,25.7,1521.44,2021-10-30T17:27:18.756657Z,2021-10-30T17:32:31.750484Z,2021-10-30T17:37:09.523093Z,1.8874699276417357
S1040b,20.2,1195.84,2021-10-30T13:56:44.537738Z,2021-10-30T14:02:04.694907Z,2021-10-30T14:05:43.241052Z,1.6826214314757386
S1039b,30.37,1797.9040000000002,2021-10-29T16:14:25.453174Z,2021-10-29T16:16:42.2Z,2021-10-29T16:19:36.4Z,2.2738869712412924
S1034b,27.9,1651.68,2021-10-24T09:20:13.843379Z,2021-10-24T09:25:23.727387Z,2021-10-24T09:30:25.663597Z,1.97435234541048
S1034a,0.84,49.728,2021-10-23T18:21:42.66185Z,2021-10-23T18:26:43.161912Z,2021-10-23T18:26:52.263747Z,1.03028896213672
S1030a,11.2,663.04,2021-10-20T08:22:51.053546Z,2021-10-20T08:28:01.331556Z,2021-10-20T08:30:02.098175Z,1.3892206830899811
S1026c,31.5,1864.8000000000002,2021-10-16T06:42:35.022933Z,2021-10-16T06:48:07.109371Z,2021-10-16T06:53:48.543264Z,2.0281476565447702
S1025g,25.6,1515.5200000000002,2021-10-15T07:50:43.47769Z,2021-10-15T07:55:45.139953Z,2021-10-15T08:00:22.630487Z,1.9198715518486977
S1024c,21.7,1284.64,2021-10-14T05:58:20.206396Z,2021-10-14T06:03:38.615272Z,2021-10-14T06:07:33.903717Z,1.7389506472175102
S1019b,30.4,1799.68,2021-10-09T01:49:26.911166Z,2021-10-09T01:54:36.837377Z,2021-10-09T02:00:05.550309Z,2.0606167543538287
S1017a,27.6,1633.92,2021-10-06T22:12:19.313507Z,2021-10-06T22:17:29.354855Z,2021-10-06T22:22:27.88537Z,1.9628732326373448
S1012d,38.27,2265.5840000000003,2021-10-02T00:29:27.840413Z,2021-10-02T00:33:55.4Z,2021-10-02T00:34:03.626131Z,1.0307450429724274
S1007d,22.7,1343.84,2021-09-26T20:03:15.38973Z,2021-09-26T20:08:20.403076Z,2021-09-26T20:12:26.325026Z,1.8062661953159256
S0999c,24.7,1462.24,2021-09-18T13:29:29.184012Z,2021-09-18T13:34:49.172318Z,2021-09-18T13:39:16.331554Z,1.834903122991001
S0997a,21.5,1272.8,2021-09-16T12:21:10.496236Z,2021-09-16T12:26:15.544186Z,2021-09-16T12:30:08.515569Z,1.763720533116187
S0994d,23.4,1385.28,2021-09-13T10:10:23.406981Z,2021-09-13T10:15:33.419688Z,2021-09-13T10:19:47.111163Z,1.8183260533252916
S0994b,24.1,1426.7200000000003,2021-09-13T07:05:58.890533Z,2021-09-13T07:11:18.884641Z,2021-09-13T07:15:39.618141Z,1.8148071901373886
S0992a,24.2,1432.64,2021-09-11T07:46:22.516863Z,2021-09-11T07:51:42.876068Z,2021-09-11T07:56:04.769485Z,1.8174992724182844
S0986c,1.22,72.224,2021-09-05T05:18:58.055897Z,2021-09-05T05:24:00.056583Z,2021-09-05T05:24:13.227604Z,1.0436125532509555
S0986a,23.5,1391.2,2021-09-05T02:46:57.359065Z,2021-09-05T02:52:07.529403Z,2021-09-05T02:56:21.888048Z,1.8200611529784645
S0981c,3.45,204.24,2021-08-31T03:59:01.746379Z,2021-08-31T04:04:03.73611Z,2021-08-31T04:04:41.107132Z,1.1237493138467016
S0965b,23.4,1385.28,2021-08-14T13:26:21.167287Z,2021-08-14T13:31:31.801906Z,2021-08-14T13:35:45.112667Z,1.815462107267574
S0965a,8.85,523.92,2021-08-14T11:16:58.03701Z,2021-08-14T11:22:08.350384Z,2021-08-14T11:23:44.189704Z,1.3088468884360749
S0946a,22.5,1332.0,2021-07-25T23:59:56.310642Z,2021-07-26T00:05:06.317929Z,2021-07-26T00:09:09.701646Z,1.785090309828749
S0943f,24.0,1420.8000000000002,2021-07-23T00:35:33.757199Z,2021-07-23T00:40:53.806495Z,2021-07-23T00:45:13.151506Z,1.8103283282960259
S0940a,21.7,1284.64,2021-07-19T21:40:39.873077Z,2021-07-19T21:46:05.211859Z,2021-07-19T21:50:00.678716Z,1.7237589553648727
S0933b,27.0,1598.4,2021-07-12T17:07:14.944102Z,2021-07-12T17:12:24.424634Z,2021-07-12T17:17:16.217002Z,1.9428456326939494
