Event_ID,Timestamp,Distance,Quality,Class
S1222a,2022-05-04 23:23:07.856945+00:00,37.01,A,BROADBAND
S1133c,2022-02-03 08:04:38.145711+00:00,30.19,A,BROADBAND
S1102a,2022-01-02 04:27:10.093677+00:00,73.31,A,BROADBAND
S1094b,2021-12-24 22:38:02.749173+00:00,59.65,A,BROADBAND
S1048d,2021-11-07 22:00:15.254098+00:00,30.19,A,LOW_FREQUENCY
S1022a,2021-10-11 23:14:29.105382+00:00,30.73,A,LOW_FREQUENCY
S1015f,2021-10-04 04:52:29.248537+00:00,27.49,A,BROADBAND
S1000a,2021-09-18 17:46:20.639751+00:00,128.29,A,BROADBAND
S0976a,2021-08-25 03:32:20.629953+00:00,146.26,A,LOW_FREQUENCY
S0864a,2021-05-02 00:57:35.345190+00:00,28.75,A,BROADBAND
S0820a,2021-03-18 14:51:33.869889+00:00,30.19,A,LOW_FREQUENCY
S0809a,2021-03-07 11:09:26.997140+00:00,29.83,A,LOW_FREQUENCY
S0235b,2019-07-26 12:15:38.748239+00:00,28.75,A,BROADBAND
S0173a,2019-05-23 02:19:09.852879+00:00,30.01,A,LOW_FREQUENCY
S1197a,2022-04-09 22:05:52.416870+00:00,31.98,B,BROADBAND
S1192a,2022-04-04 23:06:52.616746+00:00,25.5,B,2.4_HZ
S1163a,2022-03-06 02:29:13.668752+00:00,23.1,B,HIGH_FREQUENCY
S1160a,2022-03-02 06:51:40.637485+00:00,2.14,B,VERY_HIGH_FREQUENCY
S1157a,2022-02-27 01:02:36.620313+00:00,35.58,B,BROADBAND
S1153a,2022-02-23 21:00:32.548262+00:00,84.81,B,BROADBAND
S1135c,2022-02-05 04:34:04.201673+00:00,20.0,B,HIGH_FREQUENCY
S1106a,2022-01-06 14:53:18.310024+00:00,38.5,B,2.4_HZ
S1105a,2022-01-05 07:59:04.008824+00:00,22.4,B,HIGH_FREQUENCY
S1094d,2021-12-25 03:31:41.685086+00:00,24.4,B,HIGH_FREQUENCY
S1091a,2021-12-21 23:57:27.099737+00:00,20.2,B,HIGH_FREQUENCY
S1090b,2021-12-20 22:17:13.778510+00:00,9.8,B,VERY_HIGH_FREQUENCY
S1087d,2021-12-18 00:42:23.809954+00:00,26.8,B,2.4_HZ
S1086d,2021-12-16 23:02:32.671075+00:00,24.9,B,HIGH_FREQUENCY
S1082c,2021-12-12 20:20:50.278146+00:00,21.2,B,HIGH_FREQUENCY
S1077c,2021-12-07 14:01:49.155880+00:00,23.0,B,HIGH_FREQUENCY
S1075c,2021-12-05 14:43:47.693762+00:00,25.6,B,2.4_HZ
