Event_ID,Distance,Distance_km,t0,tp,ts,Vp_Vs_Ratio
S1222a,37.01,2190.992,2022-05-04T23:23:07.710516Z,2022-05-04T23:27:45.836925Z,2022-05-04T23:27:45.331451Z,0.9981825746004579
S1133c,30.19,1787.2480000000003,2022-02-03T08:04:36.469259Z,2022-02-03T08:08:27.938504Z,2022-02-03T08:08:25.290742Z,0.9885610634795132
S1102a,73.31,4339.952,2022-01-02T04:27:10.093677Z,2022-01-02T04:35:30.847431Z,2022-01-02T04:35:28.844688Z,0.9960005432131018
S1094b,59.65,3531.28,2021-12-24T22:38:02.749173Z,2021-12-24T22:45:09.075499Z,2021-12-24T22:45:08.063325Z,0.9976258233698662
S1048d,30.19,1787.2480000000003,2021-11-07T22:00:15.254098Z,2021-11-07T22:07:00.132516Z,2021-11-07T22:07:00.878113Z,1.001841533079691
S1022a,30.73,1819.2160000000001,2021-10-11T23:14:29.105382Z,2021-10-11T23:19:05.482059Z,2021-10-11T23:18:20.004721Z,0.8354516072280587
S1015f,27.49,1627.408,2021-10-04T04:52:29.248537Z,2021-10-04T04:56:32.365918Z,2021-10-04T04:55:55.150429Z,0.846923782878362
S1000a,128.29,7594.768,2021-09-18T17:46:20.639751Z,2021-09-18T18:01:47.477589Z,2021-09-18T18:14:08.554403Z,1.7995754851778072
S0976a,146.26,8658.592,2021-08-25T03:32:20.629953Z,2021-08-25T03:49:06.404728Z,2021-08-25T03:48:56.429772Z,0.990082316391361
S0864a,28.75,1702.0,2021-05-02T00:57:35.34519Z,2021-05-02T01:05:35.256361Z,2021-05-02T01:04:04.054802Z,0.8099615834947922
S0820a,30.19,1787.2480000000003,2021-03-18T14:51:33.869889Z,2021-03-18T14:56:14.710057Z,2021-03-18T14:54:10.36157Z,0.5572268458406562
S0809a,29.83,1765.936,2021-03-07T11:09:26.99714Z,2021-03-07T11:15:02.69652Z,2021-03-07T11:13:14.930832Z,0.6789815697604208
S0235b,28.75,1702.0,2019-07-26T12:15:38.748239Z,2019-07-26T12:20:31.432704Z,2019-07-26T12:22:05.323182Z,1.3207907806107853
S0173a,30.01,1776.592,2019-05-23T02:19:09.852879Z,2019-05-23T02:22:59.069095Z,2019-05-23T02:22:58.043698Z,0.9955265076010155
S1197a,31.98,1893.2160000000001,2022-04-09T22:05:52.41687Z,2022-04-09T22:09:55.523977Z,2022-04-09T22:13:00.58318Z,1.761224981382383
S1192a,25.5,1509.6000000000001,2022-04-04T23:06:52.616746Z,2022-04-04T23:12:12.572401Z,2022-04-04T23:11:52.616746Z,0.937629934998336
S1163a,23.1,1367.5200000000002,2022-03-06T02:29:13.668752Z,2022-03-06T02:34:18.697973Z,2022-03-06T02:34:13.668752Z,0.9835123304465312
S1160a,2.14,126.68800000000002,2022-03-02T06:51:40.637485Z,2022-03-02T06:56:42.656456Z,2022-03-02T06:56:52.590229Z,1.0328912219226123
S1157a,35.58,2106.336,2022-02-27T01:02:36.620313Z,2022-02-27T01:11:17.831943Z,2022-02-27T01:07:02.379242Z,0.5098867978061042
S1153a,84.81,5020.752,2022-02-23T21:00:32.548262Z,2022-02-23T21:09:45.253968Z,2022-02-23T21:09:33.746256Z,0.9791793139186445
S1135c,20.0,1184.0,2022-02-05T04:34:04.201673Z,2022-02-05T04:39:24.217017Z,2022-02-05T04:39:04.201673Z,0.9374550490303989
S1106a,38.5,2279.2000000000003,2022-01-06T14:53:18.310024Z,2022-01-06T14:58:22.590713Z,2022-01-06T15:05:17.434669Z,2.3633594605144332
S1105a,22.4,1326.08,2022-01-05T07:59:04.008824Z,2022-01-05T08:10:39.599455Z,2022-01-05T08:02:58.25907Z,0.3367645214876392
S1094d,24.4,1444.48,2021-12-25T03:31:41.685086Z,2021-12-25T03:41:37.412248Z,2021-12-25T03:41:16.658691Z,0.9651626477289951
S1091a,20.2,1195.84,2021-12-21T23:57:27.099737Z,2021-12-22T00:02:46.930495Z,2021-12-22T00:06:25.465309Z,1.6832826691421594
